POISSON BOLTZMANN:
Frame #,BOND,ANGLE,DIHED,UB,IMP,CMAP,VDWAALS,EEL,1-4 VDW,1-4 EEL,EPB,ENPOLAR,EDISPER,G gas,G solv,TOTAL
0,515.1099,1421.5443,-1097.4141,0.0,0.0,0.0,-1282.0947,-16182.3119,591.7092,11711.7379,-1838.9624,1220.7819,-736.2897,-4321.7194,-1354.4702,-5676.189600000001
1,553.0988,1392.602,-1104.3311,0.0,0.0,0.0,-1254.281,-16044.8584,589.3306,11654.6596,-1883.6319,1237.6549,-745.9813,-4213.779500000001,-1391.9583000000002,-5605.737800000002
2,537.6567,1458.4162,-1122.7467,0.0,0.0,0.0,-1235.166,-15982.9251,603.302,11734.0325,-2039.9589,1247.9128,-758.2508,-4007.430400000001,-1550.2969,-5557.7273000000005
3,504.0906,1383.5447,-1066.2864,0.0,0.0,0.0,-1267.214,-16178.5706,607.8602,11783.5965,-1881.6602,1236.0862,-741.4073,-4232.978999999999,-1386.9813,-5619.9603
4,518.2159,1400.861,-1056.8086,0.0,0.0,0.0,-1284.9367,-16119.2693,617.5447,11757.4971,-1919.9435,1226.3479,-730.1495,-4166.895899999998,-1423.7451,-5590.640999999998
5,510.666,1399.5629,-1073.7128,0.0,0.0,0.0,-1327.3073,-16042.1865,613.1978,11716.7241,-1942.5733,1221.1221,-724.7856,-4203.0558,-1446.2368000000001,-5649.2926
6,562.3979,1340.3258,-1089.4978,0.0,0.0,0.0,-1299.8189,-16183.5503,613.0561,11767.6581,-1873.0223,1227.1984,-731.1333,-4289.429099999999,-1376.9572,-5666.3863
7,491.137,1431.401,-1118.8238,0.0,0.0,0.0,-1287.654,-16196.1777,607.1821,11761.5854,-1850.9081,1225.8376,-736.3359,-4311.35,-1361.4064,-5672.756400000001
8,506.3873,1397.1214,-1073.1341,0.0,0.0,0.0,-1283.2131,-16106.6051,588.9884,11681.9452,-1849.77,1226.9102,-731.5051,-4288.510000000002,-1354.3649,-5642.8749000000025
9,477.5743,1362.936,-1090.7831,0.0,0.0,0.0,-1270.4518,-16069.0982,600.3894,11738.1283,-1953.5776,1239.6299,-751.4559,-4251.305100000001,-1465.4036,-5716.708700000002
10,488.0346,1386.7539,-1091.4843,0.0,0.0,0.0,-1254.1888,-16009.4705,611.4853,11761.6502,-2003.9927,1240.5607,-747.1947,-4107.2196,-1510.6267,-5617.8463
11,499.3929,1411.3649,-1091.2667,0.0,0.0,0.0,-1279.9962,-16057.466,605.0087,11796.7675,-2018.6042,1241.4112,-744.8744,-4116.194899999999,-1522.0674,-5638.262299999998
12,506.0647,1390.5211,-1090.3888,0.0,0.0,0.0,-1308.6111,-16118.3482,598.9802,11736.3121,-1901.5594,1228.3561,-733.7714,-4285.470000000003,-1406.9747000000002,-5692.444700000003
13,491.8799,1382.8986,-1102.3998,0.0,0.0,0.0,-1274.2287,-16002.1595,618.6916,11735.387,-2011.1189,1238.2266,-741.4292,-4149.930899999999,-1514.3215,-5664.252399999999
14,491.2927,1473.2736,-1039.9473,0.0,0.0,0.0,-1319.9143,-16132.5983,619.1821,11719.3388,-1842.0432,1220.281,-724.8769,-4189.3727,-1346.6391,-5536.0118
15,499.1707,1426.1484,-1070.0511,0.0,0.0,0.0,-1280.5002,-16148.5609,609.6586,11739.1771,-1898.1126,1228.7955,-741.3057,-4224.9573999999975,-1410.6228,-5635.580199999998
16,503.0427,1369.1175,-1058.2138,0.0,0.0,0.0,-1280.1307,-16144.5304,610.288,11774.2238,-1902.1699,1226.3149,-737.4776,-4226.2029,-1413.3326000000002,-5639.5355
17,512.8204,1459.7184,-1096.7465,0.0,0.0,0.0,-1275.4815,-16093.6204,617.5137,11678.0113,-1896.8578,1230.9028,-740.7557,-4197.784600000001,-1406.7107,-5604.4953000000005
