GENERALIZED BORN:
Frame #,BOND,ANGLE,DIHED,UB,IMP,CMAP,VDWAALS,EEL,1-4 VDW,1-4 EEL,EGB,ESURF,ESCF,G gas,G solv,TOTAL
0,510.8974,1408.2729,-1094.4039,0.0,0.0,0.0,-1279.3315,-15998.9309,588.4638,11481.1318,-1844.7264,54.59011488,16.8141,-4383.9004,-1790.13628512,-6157.22258512
1,545.0134,1383.7418,-1104.5921,0.0,0.0,0.0,-1252.655,-15865.5576,583.3437,11429.5504,-1904.5402,56.41364232,3.7119,-4281.1554000000015,-1848.12655768,-6125.570057680001
2,530.3674,1446.4723,-1119.8779,0.0,0.0,0.0,-1232.6218,-15785.6048,599.6151,11503.9024,-2076.6267,59.26652855999999,-2.6192,-4057.7472999999973,-2017.3601714399997,-6077.7266714399975
3,499.0008,1374.3488,-1064.7388,0.0,0.0,0.0,-1264.4604,-15977.6797,603.1096,11555.6813,-1915.8016,59.180169600000006,-4.9033,-4274.738400000002,-1856.6214304,-6136.2631304000015
4,515.4288,1386.9629,-1053.4518,0.0,0.0,0.0,-1282.1524,-15919.8497,613.4148,11523.01,-1928.5983,55.99560744,-7.387,-4216.6374,-1872.6026925600002,-6096.627092559999
5,506.4821,1386.5467,-1069.068,0.0,0.0,0.0,-1324.975,-15849.3228,609.4812,11485.2493,-1977.8484,54.83974536,-6.4469,-4255.6065,-1923.00865464,-6185.06205464
6,556.6578,1329.586,-1086.5019,0.0,0.0,0.0,-1297.532,-15991.3209,609.0642,11538.4332,-1889.5665,56.414834639999995,-0.9887,-4341.613600000001,-1833.15166536,-6175.753965360001
7,486.5384,1417.3605,-1116.8316,0.0,0.0,0.0,-1284.895,-16016.4772,602.2918,11533.3888,-1872.7023,55.50374016,23.0084,-4378.6242999999995,-1817.19855984,-6172.8144598399995
8,502.9219,1387.1689,-1073.2524,0.0,0.0,0.0,-1280.7763,-15913.0204,583.9303,11452.2942,-1864.9678,56.34740952,-2.6101,-4340.7338,-1808.62039048,-6151.96429048
9,473.5161,1352.1901,-1088.7567,0.0,0.0,0.0,-1267.9414,-15887.3315,595.9805,11511.1847,-1969.039,58.2683688,4.9719,-4311.158200000002,-1910.7706312,-6216.956931200002
10,480.2262,1376.2265,-1089.0415,0.0,0.0,0.0,-1251.4341,-15832.0661,608.0221,11531.581,-2023.2702,58.13530127999999,4.0915,-4176.4859,-1965.13489872,-6137.529298719999
11,494.2157,1400.7993,-1089.835,0.0,0.0,0.0,-1277.6787,-15873.3107,601.1777,11564.1235,-2036.5789,59.380875360000005,6.1967,-4180.5082,-1977.1980246399999,-6151.509524640001
12,500.5908,1376.1814,-1089.628,0.0,0.0,0.0,-1305.8598,-15949.6632,593.2405,11512.4321,-1913.3149,56.7220392,14.4334,-4362.706200000002,-1856.5928608000002,-6204.865660800003
13,488.9479,1371.587,-1099.7936,0.0,0.0,0.0,-1271.5537,-15821.8337,614.1811,11504.2113,-2019.3422,57.86119008,5.0463,-4214.2536999999975,-1961.4810099200001,-6170.688409919998
14,484.3059,1461.1049,-1039.6009,0.0,0.0,0.0,-1317.4155,-15944.7802,615.014,11486.2666,-1872.2823,55.588644,15.7223,-4255.1052,-1816.6936560000001,-6056.076555999999
15,492.9801,1413.7591,-1068.256,0.0,0.0,0.0,-1277.8813,-15947.001,605.8852,11506.3029,-1906.5486,56.31084936,4.0001,-4274.2109999999975,-1850.23775064,-6120.448650639997
16,493.7559,1356.9307,-1056.8485,0.0,0.0,0.0,-1277.5162,-15959.7061,606.8212,11546.592,-1921.2073,56.68900704,11.3248,-4289.971,-1864.51829296,-6143.164492959999
17,509.0271,1449.0729,-1095.5156,0.0,0.0,0.0,-1272.8808,-15899.7043,613.6196,11446.3556,-1907.6703,56.98124928,-5.538,-4250.025499999998,-1850.68905072,-6106.252550719997
18,504.6305,1354.6693,-1089.7665,0.0,0.0,0.0,-1280.4537,-16003.5226,600.1479,11510.5739,-1853.221,57.73738608,3.3223,-4403.7212,-1795.48361392,-6195.88251392
19,515.1985,1396.9491,-1081.371,0.0,0.0,0.0,-1280.842,-16028.1476,587.5165,11538.1045,-1844.8169,55.21741056,2.9727,-4352.592000000001,-1789.59948944,-6139.21878944
20,487.7929,1458.4091,-1067.6023,0.0,0.0,0.0,-1288.6467,-15918.1102,596.1425,11514.0819,-1924.7819,57.06086904,13.0398,-4217.9328000000005,-1867.72103096,-6072.6140309600005
21,525.4885,1385.9381,-1086.6145,0.0,0.0,0.0,-1246.7819,-15982.73,578.1591,11527.1811,-1939.2236,58.18717512,-5.3987,-4299.359599999998,-1881.0364248800001,-6185.794724879998
22,519.6769,1421.4814,-1080.6315,0.0,0.0,0.0,-1264.5992,-15995.7599,590.955,11536.2006,-1885.8103,56.573092079999995,7.1751,-4272.676699999998,-1829.2372079200002,-6094.738807919998
23,520.1914,1454.1115,-1079.8567,0.0,0.0,0.0,-1295.4297,-16002.9726,613.5776,11505.8002,-1895.8844,56.94658128,14.2367,-4284.578299999999,-1838.93781872,-6109.279418719999
24,503.98,1433.0558,-1081.5172,0.0,0.0,0.0,-1280.9153,-15852.0457,602.4718,11543.3257,-2023.3651,57.52327752,-1.1194,-4131.644900000001,-1965.84182248,-6098.6061224800005
25,511.1129,1457.4874,-1075.8208,0.0,0.0,0.0,-1267.0001,-15961.5746,587.2614,11433.7831,-1867.1061,55.55713032,-1.0203,-4314.7507000000005,-1811.54896968,-6127.31996968
26,510.3533,1456.5271,-1075.4336,0.0,0.0,0.0,-1274.9005,-15716.48,586.9229,11522.4757,-2124.991,60.10884288,1.8542,-3990.535099999999,-2064.88215712,-6053.563057119999
27,475.7771,1416.0839,-1099.2436,0.0,0.0,0.0,-1272.8898,-15878.0255,589.4123,11507.1831,-1966.8094,56.99084616,15.4074,-4261.702499999999,-1909.81855384,-6156.11365384
28,475.3955,1424.1557,-1090.4022,0.0,0.0,0.0,-1274.8383,-15827.9989,597.0432,11486.3127,-2024.25,56.27588256,29.1926,-4210.3323,-1967.97411744,-6149.113817439999
29,486.3777,1398.6033,-1083.8752,0.0,0.0,0.0,-1266.1151,-15942.88,614.1366,11646.0065,-2041.0162,57.64738608,17.8284,-4147.7462,-1983.36881392,-6113.28661392
30,493.7561,1427.563,-1060.3926,0.0,0.0,0.0,-1256.419,-15838.9447,598.9026,11583.1668,-2074.7371,60.9317352,27.5757,-4052.3678,-2013.8053647999998,-6038.5974648
31,509.3413,1456.4778,-1056.0747,0.0,0.0,0.0,-1261.7709,-15846.4682,595.9747,11529.733,-2033.5626,59.603434560000004,-1.3052,-4072.7869999999984,-1973.9591654399999,-6048.051365439998
32,518.1968,1341.2976,-1087.5875,0.0,0.0,0.0,-1299.3764,-15962.9513,604.3496,11582.2292,-1958.7747,59.524998479999994,2.9679,-4303.842000000001,-1899.24970152,-6200.123801520001
33,511.877,1411.9161,-1093.9123,0.0,0.0,0.0,-1264.5172,-15925.0834,602.7269,11506.6399,-1957.8605,58.48616664,3.492,-4250.352999999999,-1899.37433336,-6146.235333359999
34,515.8115,1413.4672,-1064.1462,0.0,0.0,0.0,-1279.996,-15799.3656,616.2689,11562.105,-2085.162,58.73818104,17.3027,-4035.855199999998,-2026.4238189599998,-6044.976318959998
35,535.0496,1376.9227,-1058.4182,0.0,0.0,0.0,-1288.7619,-15848.4554,591.4863,11500.6513,-2012.7968,58.000878719999996,25.8683,-4191.525600000001,-1954.7959212800001,-6120.45322128
36,490.9632,1446.2729,-1084.6042,0.0,0.0,0.0,-1285.8379,-15947.5961,580.0705,11426.1842,-1873.3243,56.59265448,13.6415,-4374.547400000001,-1816.73164552,-6177.637545520001
37,541.3441,1425.1746,-1120.011,0.0,0.0,0.0,-1280.8711,-15875.6304,587.51,11523.1344,-2001.025,56.81981664,13.1031,-4199.349399999999,-1944.20518336,-6130.451483359999
38,508.0507,1400.1791,-1067.8981,0.0,0.0,0.0,-1296.3546,-15969.628,613.8763,11557.6992,-1975.3939,57.16593648,14.3758,-4254.0754000000015,-1918.22796352,-6157.927563520002
39,519.3164,1410.6477,-1076.6116,0.0,0.0,0.0,-1269.5957,-15860.7228,602.3715,11553.9924,-2059.7326,56.5152156,9.89,-4120.602100000002,-2003.2173844,-6113.929484400001
40,500.0767,1412.2457,-1116.9022,0.0,0.0,0.0,-1286.2143,-15973.8172,597.4129,11544.1531,-1939.1026,56.20357584,21.9662,-4323.045300000002,-1882.89902416,-6183.978124160002
41,531.3292,1401.6165,-1083.1736,0.0,0.0,0.0,-1284.009,-15977.4083,591.5039,11577.645,-1972.0524,57.68833104,15.7992,-4242.496299999999,-1914.36406896,-6141.061168959999
42,480.4839,1420.9275,-1108.6731,0.0,0.0,0.0,-1243.9444,-15882.7534,601.7216,11564.0925,-2066.031,60.11391024,14.0429,-4168.145399999998,-2005.91708976,-6160.019589759997
43,509.6945,1419.5786,-1072.9308,0.0,0.0,0.0,-1289.7928,-15952.9057,601.1027,11574.232,-1990.6714,57.99038544,16.8533,-4211.021499999999,-1932.68101456,-6126.849214559999
44,493.8572,1415.5727,-1050.0591,0.0,0.0,0.0,-1289.8034,-15833.6603,593.6176,11533.9254,-2034.643,57.49164432,8.2873,-4136.5499,-1977.15135568,-6105.41395568
45,499.6456,1378.5131,-1103.9809,0.0,0.0,0.0,-1234.3834,-15947.6878,624.4027,11581.8956,-2006.1215,59.380683839999996,9.2384,-4201.5951000000005,-1946.74081616,-6139.097516160001
46,520.2437,1437.8015,-1100.4046,0.0,0.0,0.0,-1274.0466,-15990.377,606.0413,11499.8289,-1893.8378,56.79293832,11.4585,-4300.912799999998,-1837.04486168,-6126.499161679999
47,516.5015,1383.896,-1063.5972,0.0,0.0,0.0,-1283.7577,-15918.2279,617.2734,11540.4124,-2002.7885,59.004213119999996,12.6659,-4207.4995,-1943.78428688,-6138.617886880001
48,523.6506,1379.7102,-1091.2299,0.0,0.0,0.0,-1239.1552,-15975.8221,596.5245,11576.1082,-1975.555,58.22665848,10.3197,-4230.213699999998,-1917.32834152,-6137.222341519999
49,513.1847,1434.0572,-1098.1738,0.0,0.0,0.0,-1255.3721,-15779.8562,606.1975,11472.4843,-2052.4652,59.78149560000001,14.8707,-4107.4784,-1992.6837044000001,-6085.2914044
